DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
11401,General,2,3,0,4,1,0,0,0,0
11402,General,3,2,3,3,3,4,2,2,2
11403,General,2,3,0,3,3,2,0,0,0
11404,General,2,3,0,3,3,4,0,0,0
11405,General,2,3,0,1,2,2,0,0,0
11406,General,2,3,0,1,2,2,0,0,0
11407,General,2,3,0,1,2,2,0,0,0
11408,General,2,3,0,3,3,4,0,0,0
11409,General,2,3,0,4,1,0,0,0,0
11410,General,2,3,0,4,1,0,0,0,0
11411,General,2,3,0,1,2,2,0,0,0
11412,General,0,3,1,0,2,2,0,0,0
11413,General,2,1,0,4,1,0,3,1,3
11414,General,0,0,1,1,2,0,0,0,0
11415,General,1,1,0,4,2,0,3,1,3
11416,General,0,0,1,1,1,0,3,1,3
11417,General,1,1,0,1,1,0,3,1,3
11418,General,1,0,2,1,4,0,3,1,3
11419,General,0,0,2,0,4,3,1,0,1
11420,General,0,0,1,4,1,0,3,0,1
11421,General,1,1,2,4,1,1,1,1,1
11422,General,0,1,2,4,1,1,3,1,3
11423,General,1,1,2,0,4,3,3,1,3
11424,General,1,1,2,1,0,0,1,1,1
11425,General,1,1,2,0,4,3,1,1,1
11426,General,0,0,2,0,4,3,1,3,1
11427,General,1,1,2,1,0,0,4,4,4
11428,General,0,0,2,0,4,3,1,3,1
11429,General,0,0,1,0,4,3,4,4,4
11430,General,4,4,2,2,0,1,4,4,4
11431,General,4,4,4,2,0,1,4,4,4
11432,General,4,4,4,0,0,0,4,4,4
11433,General,4,4,4,2,0,1,4,4,4
11434,General,4,4,4,2,0,1,1,3,1
11435,General,4,4,4,2,4,1,4,3,4
